,open_score_%,mc_accuracy_%,mc_precision,mc_recall,mc_f1,argumentacao,precisao,coesao,final_score
gemma2:2b,33.0,41.46341463414634,0.40892494929006085,0.4126616379310345,0.4019864150381379,3.8333333333333335,4.083333333333333,4.083333333333333,3.983333333333333
llama3.2:3b,44.72727272727273,39.83739837398374,0.39706510594668487,0.3986530172413793,0.3860294117647059,4.0,3.8333333333333335,4.0,3.9333333333333336
qwen2.5:3b,39.6,50.40650406504065,0.5118350379978287,0.4991199712643678,0.4817910447761194,3.8333333333333335,3.9166666666666665,3.9166666666666665,3.8833333333333333
